original_title,runtime,tagline,vote_average
G.I. Joe: The Rise of Cobra,118,When all else fails  they don't.,5.6
Inside Out,94,Meet the little voices inside your head.,8
The Jungle Book,106,xyz,6.7
Iron Man 2,124,It's not the armor that makes the hero  but the man inside.,6.6
Snow White and the Huntsman,127,The Fairytale is Over,5.8
Maleficent,97,Don't believe the fairy tale.,7
Dawn of the Planet of the Apes,130,One last chance for peace.,7.3
The Lovers,109,Love is longer than life.,4.8
47 Ronin,119,For courage. For loyalty. For honor.,5.9
Captain America: The Winter Soldier,136,In heroes we trust.,7.6
Shrek Forever After,93,It ain't Ogre... Til it's Ogre,6
Tomorrowland,130,Imagine a world where nothing is impossible.,6.2
Big Hero 6,102,From the creators of Wreck-it Ralph and Frozen,7.8
Wreck-It Ralph,108,The story of a regular guy just looking for a little wreck-ognition.,7.1
The Polar Express,100,This holiday season... believe.,6.4
Independence Day: Resurgence,120,We had twenty years to prepare. So did they.,4.9
How to Train Your Dragon,98,One adventure will change two worlds,7.5
Terminator 3: Rise of the Machines,109,The Machines Will Rise.,5.9
Guardians of the Galaxy,121,All heroes start somewhere.,7.9
Interstellar,169,Mankind was born on Earth. It was never meant to die here.,8.1
Inception,148,Your mind is the scene of the crime.,8.1
シン・ゴジラ,120,A god incarnate. A city doomed.,6.5
The Hobbit: An Unexpected Journey,169,From the smallest beginnings come the greatest legends.,7
The Fast and the Furious,106,Live life 1/4 mile at a time.,6.6
The Curious Case of Benjamin Button,166,Life isn't measured in minutes  but in moments.,7.3
X-Men: First Class,132,Witness the moment that will change our world.,7.1
The Hunger Games: Mockingjay - Part 2,137,The fire will burn forever.,6.6
The Sorcerer's Apprentice,109,It's The Coolest Job Ever.,5.8
Poseidon,99,Mayday,5.5
Alice Through the Looking Glass,113,It's time for a little madness.,6.5
Shrek the Third,93,Who's ready for Thirds?,6
Warcraft,123,Two worlds. One home.,6.3
Terminator Genisys,126,Reset the future,5.8
The Chronicles of Narnia: The Voyage of the Dawn Treader,113,Return to magic. Return to hope. Return to Narnia.,6.2
Pearl Harbor,183,It takes a moment to change history. It takes love to change lives.,6.6
Transformers,144,Their war. Our world.,6.6
Alexander,175,The greatest legend of all was real.,5.6
Harry Potter and the Order of the Phoenix,138,Evil Must Be Confronted.,7.4
Harry Potter and the Goblet of Fire,157,Dark And Difficult Times Lie Ahead.,7.5
Hancock,92,Bad Behavior. Bad Attitude. Real Hero.,6.2
I Am Legend,101,The last man on Earth is not alone,6.9
Charlie and the Chocolate Factory,115,Willy Wonka is semi-sweet and nuts.,6.7
Ratatouille,111,He's dying to become a chef.,7.5
Batman Begins,140,Evil fears the knight.,7.5
Madagascar: Escape 2 Africa,89,Still together. Still lost!,6.2
Night at the Museum: Battle of the Smithsonian,105,When the lights go off the battle is on.,5.9
X-Men Origins: Wolverine,107,Witness the Origin.,6.2
The Matrix Revolutions,129,Everything that has a beginning has an end.,6.4
Frozen,102,Only the act of true love will thaw a frozen heart.,7.3
The Matrix Reloaded,138,Free your mind.,6.7
Thor: The Dark World,112,Delve into the darkness,6.8
Mad Max: Fury Road,120,What a Lovely Day.,7.2
Angels & Demons,138,xyz,6.5
Thor,115,Two worlds. One hero.,6.6
Bolt,98,Fully Awesome. Ridonculous. Let It Begin.,6.3
G-Force,88,The world needs bigger heroes,5.1
Wrath of the Titans,99,Feel the Wrath,5.5
Dark Shadows,113,Every Family Has Its Demons,5.7
Mission: Impossible - Rogue Nation,131,Desperate Times. Desperate Measures.,7.1
The Wolfman,102,When the moon is full the legend comes to life,5.5
Bee Movie,91,Born to bee wild.,5.7
Kung Fu Panda 2,91,Prepare for the Year of Awesomeness!,6.7
The Last Airbender,103,Four nations  one destiny,4.7
Mission: Impossible III,126,The Mission Begins 05:05:06.,6.5
White House Down,131,It will start like any other day.,6.4
Mars Needs Moms,88,Mom needs a little space.,5.5
Flushed Away,85,Someone's Going Down,6
Pan,111,Every legend has a beginning.,5.9
Mr. Peabody & Sherman,92,He's Leaving His Mark On History,6.7
Troy,163,For passion. For honor. For destiny. For victory. For love.,6.9
Madagascar 3: Europe's Most Wanted,93,Six years ago  they disappeared without a trace. Next summer  they finally resurface.,6.4
Die Another Day,133,He’s never been cooler.,5.8
Ghostbusters,116,Who You Gonna Call?,5.3
Armageddon,151,The Earth's Darkest Day Will Be Man's Finest Hour,6.4
Men in Black II,88,Same Planet. New Scum.,6
Beowulf,115,Evil breeds pain.,5.5
Kung Fu Panda 3,95,Grab destiny by the rice dumplings.,6.7
Mission: Impossible - Ghost Protocol,133,No Plan. No Backup. No Choice.,6.8
Rise of the Guardians,97,You better believe.,7.1
Fun with Dick and Jane,90,Giving big businesses a run for their money!,5.9
The Last Samurai,154,In the face of an enemy  in the heart of one man  lies the soul of a warrior.,7.3
Exodus: Gods and Kings,150,Once brothers  now enemies.,5.6
Star Trek,127,The future begins.,7.4
Spider-Man,121,With great power comes great responsibility.,6.8
How to Train Your Dragon 2,102,The training is over.,7.6
Gods of Egypt,127,The battle for eternity begins,5.3
Stealth,121,Fear The Sky,4.9
Watchmen,163,Justice is coming to all of us.  No matter what we do.,7
Lethal Weapon 4,127,The faces you love. The action you expect.,6.3
Hulk,138,Unleash the hero within,5.3
G.I. Joe: Retaliation,110,xyz,5.4
Sahara,124,Dirk Pitt. Adventure has a new name.,5.7
Final Fantasy: The Spirits Within,106,Unleash a new reality,5.9
Captain America: The First Avenger,124,When patriots become heroes,6.6
The World Is Not Enough,128,As the countdown begins for the new millennium there is still one number you can always count on.,6
Master and Commander: The Far Side of the World,138,The courage to do the impossible lies in the hearts of men.,6.9
The Twilight Saga: Breaking Dawn - Part 2,115,The epic finale that will live forever,6.1
Happy Feet Two,100,Every step counts.,5.8
The Incredible Hulk,114,You'll like him when he's angry.,6.1
The BFG,120,The world is more giant than you can imagine.,6
The Revenant,156,(n. One who has returned  as if from the dead.),7.3
Turbo,96,SLO NO MO,6.1
Rango,107,Heroes come in all different colors.,6.6
Penguins of Madagascar,92,The Movie Event That Will Blow Their Cover,6.5
The Bourne Ultimatum,115,Remember everything. Forgive nothing.,7.3
Kung Fu Panda,90,Prepare for awesomeness.,6.9
Ant-Man,117,Heroes don't get any bigger.,7
The Hunger Games: Catching Fire,146,Every revolution begins with a spark.,7.4
Home,94,Worlds Collide,6.8
War of the Worlds,116,They're already here.,6.2
Bad Boys II,147,If you can't stand the heat  get out of Miami.,6.3
Puss in Boots,90,Live for danger. Fight for justice. Pray for mercy.,6.4
Salt,100,Who is Salt?,6.2
Noah,139,The end of the world is just the beginning.,5.6
The Adventures of Tintin,107,This year  discover how far adventure will take you.,6.7
Harry Potter and the Prisoner of Azkaban,141,Something wicked this way comes.,7.7
Australia,165,Welcome to Australia!,6.3
After Earth,100,Danger is real  fear is a choice,5
Dinosaur,82,You have never seen anything like this.,6.2
Night at the Museum: Secret of the Tomb,97,One Final Night to Save the Day.,6.1
Megamind,95,His brain is off the chain.,6.7
Harry Potter and the Philosopher's Stone,152,Let the Magic Begin.,7.5
R.I.P.D.,96,To protect and serve the living,5.4
Pirates of the Caribbean: The Curse of the Black Pearl,143,Prepare to be blown out of the water.,7.5
The Hunger Games: Mockingjay - Part 1,123,Fire burns brighter in the darkness,6.6
The Da Vinci Code,149,Seek the truth.,6.5
Rio 2,102,He's villainous  she's venomous.,6.3
X2,133,The time has come for those who are different to stand united.,6.8
Fast Five,130,Get the Fifth Gear.,7.1
Sherlock Holmes: A Game of Shadows,129,The game is afoot.,7
Clash of the Titans,106,Titans will clash.,5.6
Total Recall,113,They stole his mind  now he wants it back.,7.1
The 13th Warrior,102,Prey for the living.,6.4
The Bourne Legacy,120,There Was Never Just One,6
Batman & Robin,125,Strength. Courage. Honor. And loyalty.,4.2
How the Grinch Stole Christmas,104,He puts the mean in green.,6.2
The Day After Tomorrow,124,Where will you be?,6.2
Mission: Impossible II,123,Expect the impossible again.,5.9
The Perfect Storm,130,The storm is coming.,6.2
4: Rise of the Silver Surfer,92,Discover the secret of the Surfer.,5.4
Life of Pi,127,Believe The Unbelievable,7.2
Ghost Rider,114,Hell Is About To Be Unleashed,5.2
Jason Bourne,123,You know his name,5.9
Charlie's Angels: Full Throttle,106,This summer the Angels are back.,5.2
Prometheus,124,The Search for Our Beginning Could Lead to Our End.,6.3
Stuart Little 2,78,A Little Goes A Long Way,5.4
Elysium,109,He can save us all.,6.4
The Chronicles of Riddick,119,All the power in the universe can't change destiny,6.3
RoboCop,102,We've got the future under control.,5.7
Speed Racer,135,Go!,5.7
How Do You Know,121,How do you know it's love?,4.9
Knight and Day,109,Every Hit Man Deserves a Second Shot!,5.9
Oblivion,124,Earth is a memory worth fighting for,6.4
Star Wars: Episode III - Revenge of the Sith,140,The saga is complete.,7.1
Star Wars: Episode II - Attack of the Clones,142,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,6.4
Monsters  Inc.,92,We Scare Because We Care.,7.5
The Wolverine,126,When he's most vulnerable  he's most dangerous.,6.3
Star Wars: Episode I - The Phantom Menace,136,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,6.3
The Croods,98,Meet the first modern family.,6.8
Astérix aux Jeux Olympiques,116,xyz,5
Windtalkers,134,Honor Was Their Code.,5.8
The Huntsman: Winter's War,114,The story before Snow White,6
Teenage Mutant Ninja Turtles,101,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,5.8
Gravity,91,Don't Let Go,7.3
Dante's Peak,108,The pressure is building...,5.7
Teenage Mutant Ninja Turtles: Out of the Shadows,112,Raise some shell.,5.8
Fantastic Four,100,Change is coming.,4.4
Night at the Museum,108,Where History Comes To Life,6.3
San Andreas,114,A rescue pilot survived an earthquake  this is what happens next,6
Tomorrow Never Dies,119,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,6
The Patriot,165,Some things are worth fighting for.,6.8
Ocean's Twelve,125,Twelve is the new eleven.,6.4
Mr. & Mrs. Smith,120,Smart and sexy.,6.5
Insurgent,119,One Choice Can Destroy You,6.2
The Aviator,170,For some men  the sky was the limit. For him  it was just the beginning.,7
Gulliver's Travels,85,Something big is going down.,4.9
The Green Hornet,119,Breaking the Law to Protect It.,5.5
300: Rise of an Empire,102,Seize your glory!,6.1
The Smurfs,103,Smurf Happens.,5.5
Home on the Range,76,Bust a Moo,5.7
Allegiant,121,Break the boundaries of your world,5.9
Real Steel,127,If you get one shot  make it real.,6.6
The Smurfs 2,105,Get ready to get naughty!,5.5
Speed 2: Cruise Control,121,As the stakes get higher  the ride gets even faster.,4.1
Ender's Game,114,This is not a game.,6.6
Live Free or Die Hard,128,The old school cop is back!,6.4
The Lord of the Rings: The Fellowship of the Ring,178,One ring to rule them all,8
Around the World in 80 Days,120,Let your imagination soar.,5.7
Ali,157,Float like a butterfly and sting like a bee.,6.7
The Cat in the Hat,82,Don't mess with the hat.,4.9
I  Robot,115,Laws are made to be broken.,6.7
Kingdom of Heaven,144,Be without fear in the face of your enemies. Safeguard the helpless  and do no wrong,6.6
Stuart Little,84,The Little Family Just Got Bigger,5.8
The Princess and the Frog,97,Every Love Story Begins With a Kiss...,6.7
The Martian,141,Bring Him Home,7.6
The Island,136,Your time will come...,6.5
Town & Country,104,There's no such thing as a small affair.,3.7
Gone in Sixty Seconds,118,Ice Cold  Hot Wired.,6.1
Gladiator,155,A Hero Will Rise.,7.9
Minority Report,145,The system is perfect until it comes after you.,7.1
Harry Potter and the Chamber of Secrets,161,Hogwarts is back in session.,7.4
Casino Royale,144,Everyone has a past. Every legend has a beginning.,7.3
Planet of the Apes,119,You'll be sorry you were ever born human,5.6
Terminator 2: Judgment Day,137,It's nothing personal.,7.7
Public Enemies,140,America's Most Wanted.,6.5
American Gangster,157,There are two sides to the American dream,7.4
True Lies,141,When he said I do  he never said what he did.,6.8
The Taking of Pelham 1 2 3,106,I can't get it out of my head. I'm gonna die today.,6.2
Little Fockers,98,Kids bring everyone closer  right?,5.4
The Other Guys,107,When the cops are busy... Our only hope is...,6.1
Eraser,115,He will erase your past to protect your future.,5.6
Django Unchained,165,Life  liberty and the pursuit of vengeance.,7.8
The Hunchback of Notre Dame,91,xyz,6.8
The Emperor's New Groove,78,It's All About.....ME!,7.2
The Expendables 2,103,Back for War.,6.1
National Treasure,131,The greatest adventure history has ever revealed.,6.4
Eragon,104,As darkness falls  the last dragon will choose its rider.,4.9
Where the Wild Things Are,101,There's one in all of us.,6.4
Epic,102,Discover a world beyond your imagination,6.4
The Tourist,103,It all started when he met a woman,6
End of Days,121,Prepare for the end.,5.5
Blood Diamond,143,It will cost you everything.,7.3
The Wolf of Wall Street,180,EARN. SPEND. PARTY.,7.9
Batman Forever,121,Courage now  truth always...,5.2
Starship Troopers,129,The only good bug is a dead bug.,6.7
Cloud Atlas,172,Everything is Connected,6.6
Legend of the Guardians: The Owls of Ga'Hoole,97,On his way to finding a legend...he will become one.,6.5
Catwoman,104,CATch her in IMAX,4.2
Hercules,99,Before he was a legend  he was a man.,5.6
Treasure Planet,95,Find your place in the universe.,7.2
Land of the Lost,102,Right place. Wrong time.,5.3
The Expendables 3,127,New team. New attitude. New mission.,6.1
Point Break,114,The only law that matters is gravity,5.5
Son of the Mask,94,Who's next?,3.6
In the Heart of the Sea,122,Based on the incredible true story that inspired Moby Dick,6.5
The Adventures of Pluto Nash,95,Action's future has arrived...,4.4
Green Zone,115,Chief Warrant Officer Roy Miller is done following orders,6.4
The Peanuts Movie,88,The story of an underdog. And his dog.,6.5
The Spanish Prisoner,110,It's the oldest con in the book.,7.1
The Mummy Returns,130,The most powerful force on earth is about to be unleashed by the two people who should know better.,6
Gangs of New York,167,America was born in the streets.,7.1
金陵十三釵,145,xyz,7.1
Surf's Up,85,In the coldest place on Earth  he's the hottest thing around.,5.9
The Stepford Wives,93,The wives of Stepford have a secret.,5.4
Black Hawk Down,144,Leave No Man Behind.,7.2
The Campaign,85,May The Best Loser Win.,5.6
The Fifth Element,126,There is no future without it.,7.3
Sex and the City 2,146,Carrie on.,5.4
The Road to El Dorado,89,They came for the gold... they stayed for the adventure.,7
Ice Age: Continental Drift,88,Manny  Diego  and Sid embark upon another adventure after their continent is set adrift.,6.2
Cinderella,105,Midnight is just the beginning.,6.7
The Lovely Bones,136,The story of a life and everything that came after...,6.6
Finding Nemo,100,There are 3.7 trillion fish in the ocean  they're looking for one.,7.6
The Lord of the Rings: The Return of the King,201,The eye of the enemy is moving.,8.1
The Lord of the Rings: The Two Towers,179,A New Power Is Rising.,8
Seventh Son,102,When darkness falls  the son will rise. When the son falls  the dark knight will rise.,5.2
Lara Croft: Tomb Raider,100,Born into Wealth. Groomed by the Elite. Trained for Combat.,5.7
Transcendence,119,Yesterday  Dr. Will Caster was only human...,5.9
Jurassic Park III,92,This time  it's not just a walk in the park!,5.7
Rise of the Planet of the Apes,105,Evolution Becomes Revolution.,7
The Spiderwick Chronicles,95,Their World Is Closer Than You Think.,6.3
A Good Day to Die Hard,98,Yippee Ki-Yay Mother Russia,5.2
The Alamo,137,You will never forget,5.8
The Incredibles,115,No gut  no glory,7.4
Cutthroat Island,119,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,5.7
Percy Jackson & the Olympians: The Lightning Thief,118,Worlds Collide,6
Men in Black,98,Protecting the Earth from the scum of the universe.,6.9
Toy Story 2,92,The toys are back!,7.3
Unstoppable,98,1 000 000 Tons. 100 000 Lives. 100 Minutes.,6.3
Rush Hour 2,90,Get ready for a second Rush!,6.4
What Lies Beneath,130,He was the perfect husband until his one mistake followed them home.,6.3
Cloudy with a Chance of Meatballs,90,Prepare to get served.,6.5
Ice Age: Dawn of the Dinosaurs,94,You Won't Believe Your Ice!,6.5
The Secret Life of Walter Mitty,114,Stop Dreaming  Start Living,7
Charlie's Angels,98,Get Some Action,5.6
The Departed,151,Lies. Betrayal. Sacrifice. How far will you take it?,7.9
Mulan,88,This time  the princess saves the prince.,7.6
Tropic Thunder,107,The movie they think they're making... isn't a movie anymore.,6.5
The Girl with the Dragon Tattoo,158,Evil shall with evil be expelled.,7.2
Die Hard: With a Vengeance,128,Think fast. Look alive. Die hard.,6.9
Sherlock Holmes,128,Nothing escapes him.,7
Ben-Hur,125,First to finish. Last to die.,5.3
Atlantis: The Lost Empire,95,Atlantis is waiting...,6.7
Alvin and the Chipmunks: The Road Chip,92,Fast & furry-ous,5.8
Valkyrie,121,Many saw evil. They dared to stop it.,6.7
You Don't Mess with the Zohan,113,Lather. Rinse. Save the world.,5.5
Pixels,105,Game On.,5.6
A.I. Artificial Intelligence,146,David is 11 years old. He weighs 60 pounds. He is 4 feet  6 inches tall. He has brown hair. His love is real. But he is not.,6.8
The Haunted Mansion,99,Check your pulse at the door... if you have one.,5.2
Contact,150,If it's just us  it seems like an awful waste of space.,7.2
Hollow Man,112,What would you do if you knew you couldn't be seen?,5.6
The Interpreter,128,The truth needs no translation.,6.2
Percy Jackson: Sea of Monsters,106,Where There Are Gods  There Are Monsters.,5.9
Lara Croft Tomb Raider: The Cradle of Life,117,Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box,5.5
Now You See Me 2,129,You Haven't Seen Anything Yet,6.7
The Saint,116,Never reveal your name. Never turn your back. Never surrender your heart.,5.9
Spy Game,126,It's not how you play the game. It's how the game plays you.,6.8
Mission to Mars,114,Let There Be Life.,5.7
Rio,96,1 out of every 8 Americans is afraid of flying. Most of them don't have feathers.,6.5
Bicentennial Man,131,One robot's 200 year journey to become an ordinary man.,6.9
Volcano,104,The coast is toast,5.2
The Devil's Own,107,They come from different worlds. They fight for different causes. Now  two men from opposite sides of the law are about to go to war.,5.9
K-19: The Widowmaker,138,Fate has found its hero.,6.1
Conan the Barbarian,129,Thief. Warrior. Gladiator. King.,6.6
Cinderella Man,144,One man's extraordinary fight to save the family he loved.,7.3
The Nutcracker: The Untold Story,110,xyz,5.4
Seabiscuit,141,The hopes of a nation rode on a long shot.,6.7
Twister,113,The Dark Side of Nature.,6.1
Cast Away,143,At the edge of the world  his journey begins.,7.5
Happy Feet,108,WARNING: May Cause Toe-Tapping.,5.9
The Bourne Supremacy,108,They should have left him alone.,7.2
Air Force One,124,The fate of a nation rests on the courage of one man.,6.2
Ocean's Eleven,116,Are you in or out?,7.2
The Three Musketeers,110,Every legend has a new beginning.,5.6
Hotel Transylvania,91,Where monsters go to get away from it all,6.8
Enchanted,107,This fairytale princess is about to meet a real Prince Charming,6.6
Safe House,115,No one is safe,6.3
102 Dalmatians,100,Meet Two Unlikely Heroes With A Bone To Pick.,5.1
Tower Heist,104,Ordinary guys. An extraordinary robbery.,5.8
The Holiday,136,It's Christmas Eve and we are going to go celebrate being young and being alive.,6.7
Enemy of the State,132,It's not paranoia if they're really after you.,6.7
It's Complicated,121,First comes marriage. Then comes divorce. And then...,6.2
Ocean's Thirteen,122,What are the odds of getting even? 13 to one.,6.5
Open Season,83,One Fur All & All Fur One,6.1
Divergent,139,What makes you different makes you dangerous.,6.9
Enemy at the Gates,131,Some Men Are Born To Be Heroes.,7.2
The Rundown,104,cut to the chase,6.4
Last Action Hero,130,This isn't the movies anymore.,6.1
Memoirs of a Geisha,145,My world is as forbidden as it is fragile; without its mysteries  it cannot survive.,7.3
The Fast and the Furious: Tokyo Drift,104,On the streets of Tokyo  speed needs no translation...,6.1
Arthur Christmas,97,Ever wonder how 2 Billion presents get delivered all in 1 night?,6.7
Meet Joe Black,178,Sooner or later everyone does.,6.9
Collateral Damage,108,What would you do if you lost everything?,5.5
All That Jazz,123,All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.,7.3
Mirror Mirror,106,The Snow White legend comes alive.,5.5
Scott Pilgrim vs. the World,112,Get the hot girl. Defeat her evil exes. Hit love where it hurts.,7.2
The Core,136,Earth has a deadline.,5.4
Nutty Professor II: The Klumps,106,The Klumps are back!,4.7
Scooby-Doo,88,Get a Clue,5.4
Dredd,95,Judgement is coming,6.6
Click,107,What If You Had A Remote... That Controlled Your Universe?,6
Creepshow,120,The Most Fun You'll Ever Have... BEING SCARED!,6.7
Cats & Dogs 2 : The Revenge of Kitty Galore,82,Just like real spies... only furrier.,4.9
Jumper,88,anywhere is possible.,5.9
Hellboy II: The Golden Army,120,Saving the world is a hell of a job.,6.5
Zodiac,157,There's more than one way to lose your life to a killer.,7.3
The 6th Day,123,Are You Who You Think You Are,5.7
Bruce Almighty,101,In Bruce we trust,6.4
The Expendables,103,Choose Your Weapon.,6
Mission: Impossible,110,Expect the Impossible.,6.7
The Hunger Games,142,May The Odds Be Ever In Your Favor.,6.9
The Hangover Part II,102,The Wolfpack Is Back,6.2
Batman Returns,126,The Bat  the Cat  the Penguin.,6.6
Over the Hedge,83,Taking back the neighborhood... One snack at a time.,6.3
Lilo & Stitch,85,He's coming to our galaxy.,7.1
Charlotte's Web,97,Something unexpected  unbelievable  unforgettable.,5.8
Deep Impact,120,Heaven and Earth are about to collide.,5.9
RED 2,116,The best never rest.,6.4
The Longest Yard,113,If you can't get out  get even.,6.2
Alvin and the Chipmunks: Chipwrecked,87,This holiday it's gonna get squeaky.,5.4
Grown Ups 2,100,Just because they're a little older doesn't mean they've grown up.,5.8
Get Smart,110,Saving The World...And Loving It!,6
Something's Gotta Give,128,Schmucks are people too.,6.3
Shutter Island,138,Someone is missing.,7.8
Four Christmases,88,His father  her mother  his mother and her father all in one day.,5.3
Robots,91,You can shine no matter what you're made of.,6
Face/Off,138,In order to catch him  he must become him.,6.8
Bedtime Stories,99,Whatever they dream up... he has to survive.,5.9
Road to Perdition,117,Pray for Michael Sullivan.,7.3
Just Go with It,117,Sometimes a guy's best wingman... is a wingwoman,6.3
Con Air,115,They were deadly on the ground; Now they have wings,6.5
Eagle Eye,118,Don't walk. Run.,6.3
Cold Mountain,154,Find the strength. Find the courage. No matter what it takes... find the way home.,6.7
The Book of Eli,118,Some will kill to have it. He will kill to protect it.,6.6
Flubber,93,Catch it if you can!,5.3
The Haunting,113,Some houses are born bad.,5.2
Space Jam,88,Get ready to jam.,6.5
The Pink Panther,93,Pardon His French.,5.6
The Day the Earth Stood Still,104,12.12.08 is the Day the Earth Stood Still,5.2
Conspiracy Theory,135,What if your most paranoid nightmares had just come true?,6.5
Fury,135,War never ends quietly.,7.4
Six Days Seven Nights,98,After this week in paradise  they’re going to need a vacation.,5.6
Yogi Bear,80,Life's a Pic-A-Nic,5.2
Spirit: Stallion of the Cimarron,83,Leader. Hero. Legend.,7.4
Zookeeper,102,Welcome to his jungle.,5.3
Lost in Space,130,Danger  Will Robinson!,5
The Manchurian Candidate,129,This summer everything is under control.,6.2
Déjà Vu,117,Your future is set...,8
Hotel Transylvania 2,89,They're back to raise a little terror,6.7
Fantasia 2000,74,xyz,7
The Time Machine,96,The greatest adventure THROUGH all time!,5.8
Mighty Joe Young,114,Survival is an instinct.,5.9
Swordfish,99,Log On. Hack In. Go Anywhere. Get Everything.,6.1
The Legend of Zorro,129,The original caped crusader is back!,5.9
What Dreams May Come,113,After life there is more. The end is just the beginning.,6.8
Little Nicky,90,He's Never Been To Earth. He's Never Even Slept Over Some Other Dude's House.,5.2
The Brothers Grimm,118,Eliminating Evil Since 1812.,5.6
Mars Attacks!,106,Nice planet. We'll take it!,6.1
Évolution,81,xyz,6.4
The Edge,117,They were fighting over a woman when the plane went down. Now  their only chance for survival is each other.,6.7
Surrogates,89,How do you save humanity when the only thing that's real is you?,5.9
Thirteen Days,145,You'll never believe how close we came,6.9
Daylight,115,No air. No escape. No time.,5.8
Walking With Dinosaurs,87,The Greatest Adventure in 70 Million Years,5.2
